所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
操作日志,TC_操作日志_001,操作日志_创建直接上架,1,商品创建直接上架日志校验,平台后台支持商品创建时直接上架，操作日志功能正常。,"1. 创建商品并选择直接上架。
2. 进入权限管理-商品日志查看对应记录。
3. 核对日志中SPU信息。","1. 日志记录商品上架操作。
2. 操作行为展示SPU id和名称。
3. 字段顺序为id在前、名称在后且配套展示。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_002,操作日志_创建入仓库,1,商品创建放入仓库日志校验,平台后台支持商品创建时放入仓库。,"1. 创建商品并选择放入仓库。
2. 进入商品日志查看对应操作记录。
3. 核对日志中SPU信息。","1. 若创建或入库产生日志，则正确记录操作行为。
2. 涉及商品展示SPU id和名称。
3. 字段顺序id在前名称在后，无缺失。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_003,操作日志_仓库上架,1,仓库商品上架日志校验,仓库中存在商品。,"1. 对仓库商品执行上架。
2. 进入商品日志查看记录。
3. 核对日志SPU信息。","1. 日志展示商品上架成功。
2. 展示SPU id和名称。
3. id在前名称在后，与操作商品一致。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_004,操作日志_在售下架,1,在售商品下架日志校验,存在在售商品。,"1. 对在售商品执行下架。
2. 进入商品日志查看记录。
3. 核对日志SPU信息。","1. 日志展示商品下架成功。
2. 展示SPU id和名称。
3. id在前名称在后，与操作商品一致。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_005,操作日志_批量上架,1,批量上架日志覆盖全部商品校验,仓库中存在多个商品。,"1. 批量上架多个商品。
2. 查看日志及详情弹窗。","1. 日志覆盖全部上架商品。
2. 每个商品均展示SPU id和名称。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_006,操作日志_批量下架,1,批量下架日志覆盖全部商品校验,存在多个在售商品。,"1. 批量下架多个商品。
2. 查看日志及详情弹窗。","1. 日志覆盖全部下架商品。
2. 每个商品均展示SPU id和名称。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_007,操作日志_详情弹窗,1,日志详情弹窗SPU字段展示校验,存在含多个商品的上下架日志。,"1. 点击日志查看详情。
2. 核对弹窗内容。","1. 弹窗展示全部商品SPU id和名称。
2. id在前名称在后，无截断遗漏。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_008,操作日志_操作行为筛选,1,按操作行为筛选上架与下架日志,商品日志存在上架与下架记录。,"1. 操作行为输入上架并搜索。
2. 操作行为输入下架并搜索。","1. 上架记录过滤正确。
2. 下架记录过滤正确，无混杂。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_009,操作日志_料号搜索,2,按sku料号检索商品日志,商品日志支持按sku料号检索。,"1. 输入sku料号搜索。
2. 核对搜索结果。","1. 返回对应商品的日志。
2. 结果准确无错漏。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_010,操作日志_操作人IP筛选,2,按操作人与IP筛选日志,商品日志存在多操作人、多IP记录。,"1. 按操作人账号筛选。
2. 按IP筛选。","1. 结果匹配所选操作人。
2. IP筛选结果准确。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_011,操作日志_分页,3,商品日志分页校验,商品日志数据量较大。,"1. 查看分页信息。
2. 翻页核对数据。","1. 分页总数正确。
2. 翻页数据不重复遗漏。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_012,操作日志_改名兼容,2,商品改名后历史日志SPU名称保留,商品存在历史发布或上下架日志；产品已确认改名后历史日志保留操作时SPU名称。,"1. 修改商品名称。
2. 查看该商品全部历史日志。
3. 核对SPU名称是否为操作时名称。","1. 历史日志保留操作时SPU名称。
2. 不受商品改名影响，仍显示改名前名称。",,产品确认（2026-08-19）：改名后历史日志SPU名称保留操作时名称，不跟当前商品名走。,功能测试,功能测试阶段
操作日志,TC_操作日志_013,操作日志_历史日志,3,历史日志兼容展示,系统存在功能上线前的历史日志。,"1. 查看历史上下架日志。
2. 核对页面展示。","1. 老日志正常加载无报错。
2. 无SPU名称记录兼容展示。",,,功能测试,功能测试阶段
操作日志,TC_操作日志_014,操作日志_字段完整性,2,商品日志字段完整性校验,商品日志存在记录。,"1. 查看日志行各字段。
2. 核对完整性。","1. 含操作平台、操作人、操作时间、IP、操作行为、SPU信息。
2. 无缺失错位。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_001,操作日志专项_字段顺序,1,SPU字段顺序与配套展示校验,商品日志已完成SPU名称补充。,"1. 查看上下架日志中的SPU字段。
2. 核对字段顺序与展示。","1. SPU id在前、名称在后。
2. id与名称配套展示，无分离错乱。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_002,操作日志专项_数据一致,1,日志SPU id与名称一致性校验,存在多个商品可执行上下架。,"1. 对指定商品执行上下架。
2. 比对日志SPU id与名称和商品信息。","1. 日志id与商品id一致。
2. 名称与商品名称一致，无串号。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_003,操作日志专项_接口校验,1,商品日志接口响应字段校验,具备抓包或接口调试工具。,"1. 抓取商品日志列表及详情接口响应。
2. 核对SPU字段。","1. 响应包含spuId与spuName字段。
2. 字段顺序id在前名称在后，数据正确。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_004,操作日志专项_批量弹窗,2,批量商品列表详情弹窗展示,存在一次操作多个商品的上下架日志。,"1. 打开批量上下架日志的详情弹窗。
2. 核对每个商品的SPU id和名称展示。","1. 弹窗内每个商品均展示SPU id和名称。
2. id在前名称在后，无截断遗漏。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_005,操作日志专项_数据库一致,1,日志SPU信息与数据库一致性校验,具备数据库查询权限。,"1. 执行上下架后查看日志。
2. 比对日志SPU信息与数据库商品。","1. 日志SPU id与名称和数据库一致。
2. 无多余或遗漏记录。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_006,操作日志专项_性能,3,大量日志下筛选查询性能,日志数据量较大且具备压测工具。,"1. 在大量日志下执行筛选查询。
2. 记录响应时间。","1. 查询正常返回无超时。
2. 响应时间在可接受范围。",,,功能测试,功能测试阶段
操作日志专项,TC_操作日志专项_007,操作日志专项_兼容性,3,商品日志浏览器兼容与弹窗展示,支持Chrome、Edge等主流浏览器。,"1. 在Chrome、Edge中查看日志与详情弹窗。
2. 核对展示效果。","1. 页面与弹窗正常，无JS报错。
2. SPU字段展示一致。",,,功能测试,功能测试阶段
