所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
会员生日礼,TC_会员生日礼_001,会员生日礼_创建人筛选,1,会员生日礼活动列表增加创建人筛选与列表字段,已登录平台后台（https://dev-mall-admin.njsyue.com），会员生日礼活动列表存在活动数据。,"1. 进入会员生日礼活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
大转盘抽奖,TC_大转盘抽奖_001,大转盘抽奖_创建人筛选,1,大转盘抽奖活动列表增加创建人筛选与列表字段,已登录平台后台（https://dev-mall-admin.njsyue.com），大转盘抽奖活动列表存在活动数据。,"1. 进入大转盘抽奖活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
线下核销,TC_线下核销_001,线下核销_创建人筛选,1,线下核销活动列表增加创建人筛选与列表字段,已登录平台后台（https://dev-mall-admin.njsyue.com），线下核销活动列表存在活动数据。,"1. 进入线下核销活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
预售活动,TC_预售活动_001,预售活动_创建人筛选,1,预售活动活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），预售活动活动列表存在活动数据。,"1. 进入预售活动活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
商品广告语,TC_商品广告语_001,商品广告语_创建人筛选,1,商品广告语活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），商品广告语活动列表存在活动数据。,"1. 进入商品广告语活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
限时抢购,TC_限时抢购_001,限时抢购_创建人筛选,1,限时抢购活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），限时抢购活动列表存在活动数据。,"1. 进入限时抢购活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
赠品促销,TC_赠品促销_001,赠品促销_创建人筛选,1,赠品促销活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），赠品促销活动列表存在活动数据。,"1. 进入赠品促销活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
商品免息,TC_商品免息_001,商品免息_创建人筛选,1,商品免息活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），商品免息活动列表存在活动数据。,"1. 进入商品免息活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
A码购,TC_A码购_001,A码购_创建人筛选,1,A码购活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），A码购活动列表存在活动数据。,"1. 进入A码购活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
优惠券,TC_优惠券_001,优惠券_创建人筛选,1,优惠券活动列表增加创建人筛选与列表字段,已登录商户后台（https://dev-mall-seller.njsyue.com），优惠券活动列表存在活动数据。,"1. 进入优惠券活动列表页，核对筛选区新增【创建人】账号搜索组件、列表新增【创建人】列且位于【活动名称】右侧，各行内容为对应创建者账号。
2. 在创建人搜索框输入已知创建人账号部分关键字（如 ww），从下拉联想结果中选择该账号后搜索，核对列表结果；再输入不存在的关键字核对联想提示，点击重置恢复全部。","1. 筛选区展示【创建人】账号搜索组件；列表新增【创建人】列且位于【活动名称】右侧，列内容为对应活动创建者账号且正确。
2. 输入部分关键字出现账号联想下拉，选择账号后列表仅展示该账号创建的活动（精确过滤）；无匹配时提示无匹配且无报错，重置后恢复展示全部活动。",,,功能测试,功能测试阶段
