所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
活动兑奖,TC_活动兑奖_001,活动兑奖_活动类型_微信小店,1,活动创建页活动类型下拉新增「微信小店」选项,管理员账号登录华硕小二后台，进入【活动兑奖】→【创建活动】页面。,"1. 打开活动类型下拉选择框，遍历全部选项。
2. 核对「微信小店」选项存在及可选中。
3. 抓取活动类型字典接口（prizeActivityTypeList）核对微信小店标识。","1. 下拉列表内新增「微信小店」选项，原有活动类型完整保留。
2. 「微信小店」选项可正常选中。
3. 接口返回 activityType=12、activityTypeName=微信小店，与页面一致。",,,功能测试,功能测试阶段
活动兑奖,TC_活动兑奖_002,活动兑奖_创建_微信小店保存,1,创建活动选中微信小店类型并正常保存,已具备礼盒申兑前置数据；进入【活动兑奖】→【创建活动】。,"1. 活动类型选择「微信小店」。
2. 填写活动名称、所属店铺、平台类型、兑换截止时间，上传邮件截图。
3. 配置兑换规则与礼品/兑换码后点击【保存】。","1. 表单校验通过并保存成功。
2. 活动列表出现该活动且活动类型显示「微信小店」。",,,功能测试,功能测试阶段
活动兑奖,TC_活动兑奖_003,活动兑奖_编辑_微信小店类型,1,编辑已创建的微信小店活动，类型可正常修改,存在微信小店类型的活动。,"1. 活动列表找到微信小店类型活动，点击【编辑】。
2. 核对编辑页活动类型回显。
3. 修改活动类型并保存，回列表核对。","1. 编辑页正常回显活动信息。
2. 活动类型可修改且保存成功。
3. 列表类型更新为修改后类型。",,,功能测试,功能测试阶段
活动兑奖,TC_活动兑奖_004,活动兑奖_列表筛选_微信小店,2,活动列表筛选支持按「微信小店」类型筛选,进入【活动兑奖】活动列表页。,"1. 活动类型筛选框选择「微信小店」。
2. 点击查询核对列表结果。
3. 选择其他类型筛选并重置，核对对照结果。","1. 筛选下拉含「微信小店」选项。
2. 筛选结果仅含微信小店类型活动；无该类型数据时为空态且无报错。
3. 其他类型筛选不受影响，重置后恢复全部。",,,功能测试,功能测试阶段
活动兑奖,TC_活动兑奖_005,活动兑奖_其他类型_回归,2,选择其他原有活动类型创建活动不受影响,具备礼盒申兑前置数据；进入创建活动页。,"1. 分别选择直播间抽奖、福袋、活动转盘等原有类型。
2. 填写必填项并保存，回列表核对。","1. 原有类型均可正常创建保存。
2. 活动类型下拉完整无缺失。
3. 保存后列表类型显示正确。",,,功能测试,功能测试阶段
活动兑奖,TC_活动兑奖_006,活动兑奖_后端_入库,1,后端接口创建活动传入微信小店标识可正常入库,具备接口调试工具与数据库查询权限。,"1. 调用创建活动接口，activityType 传微信小店标识（type=12）。
2. 查询活动表对应记录。
3. 核对接口响应与数据库字段。","1. 接口返回成功，活动可正常创建。
2. 数据库活动记录 type 字段=12，类型名称与微信小店一致。
3. 接口与库中数据一致，无异常。",,,功能测试,功能测试阶段
活动兑奖回归,TC_活动兑奖回归_001,活动兑奖回归_编辑_所属店铺回显_审核通过,1,编辑审核通过活动首次进入所属店铺回显校验,存在审核通过的活动（如 wmw抽奖实物20250925002，ID 147）。,"1. 从活动列表首次点击审核通过活动【编辑】。
2. 核对所属店铺字段是否显示（如 华硕商城/华硕商城）。
3. 返回列表再次点击【编辑】，再次核对所属店铺。
4. 抓取 prize/detail 与 common/storeList 接口响应及返回顺序。","1. 首次进入编辑页所属店铺应正常回显，不出现空白。
2. detail 接口正确返回 storeId/platformId/平台店铺名（如 storeId=33、华硕商城-华硕商城）。
3. 多次进入显示一致；detail 先于 storeList 返回时也应正常回显。",,,功能测试,功能测试阶段
活动兑奖回归,TC_活动兑奖回归_002,活动兑奖回归_编辑_所属店铺回显_待审核,1,编辑待审核活动首次进入所属店铺回显校验,存在待审核活动（如 说是，ID 139）。,"1. 从活动列表首次点击待审核活动【编辑】。
2. 核对所属店铺字段回显。
3. 返回列表再次进入编辑，核对显示一致性。
4. 抓取 detail 与 storeList 接口返回顺序。","1. 首次进入所属店铺正常回显（如 抖音/华硕官方旗舰店）。
2. detail 返回 storeId/platformId 正确。
3. detail 先于 storeList 返回时同样正常回显，不出现空白。",,,功能测试,功能测试阶段
活动兑奖回归,TC_活动兑奖回归_003,活动兑奖回归_编辑_所属店铺回显_未通过,1,编辑未通过活动首次进入所属店铺回显校验,存在未通过活动（如 试试就逝世 VFDR，ID 118）。,"1. 从活动列表首次点击未通过活动【编辑】。
2. 核对所属店铺字段回显。
3. 返回列表再次进入编辑，核对显示一致性。
4. 抓取 detail 与 storeList 接口返回顺序。","1. 首次进入所属店铺正常回显（如 抖音/华硕官方旗舰店）。
2. detail 返回 storeId/platformId 正确。
3. detail 先于 storeList 返回时同样正常回显，不出现空白。",,,功能测试,功能测试阶段
活动兑奖回归,TC_活动兑奖回归_004,活动兑奖回归_编辑_邮件截图回显,2,编辑活动邮件截图回显校验,存在含邮件截图的不同审核状态活动（通过 147/146、待审核 139、未通过 118）。,"1. 分别编辑通过、待审核、未通过活动，核对邮件截图缩略图。
2. 抓取 detail 接口 mailImg 字段。
3. 直接访问 mailImg 图片 URL 核对 HTTP 状态与加载。","1. 编辑页邮件截图缩略图正常显示，无裂图/空白/异常占位。
2. detail 返回的 mailImg URL 可访问（HTTP 200）且为图片。
3. 多条截图（逗号分隔）逐张显示，上限 9 张。",,,功能测试,功能测试阶段
