所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
消息引用_操作入口,TC_消息引用_操作入口_001,消息引用_操作入口_Q001,1,Q-001 移动端长按消息唤起操作菜单展示引用按钮,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 在移动端长按一条文字消息0.5s；观察弹出操作图标行,1. 消息气泡上方弹出操作图标栏，包含引用图标；同时存在撤回（自己消息）,,,功能测试,功能测试阶段
消息引用_操作入口,TC_消息引用_操作入口_002,消息引用_操作入口_Q002,1,Q-002 PC客服工作台右键消息菜单展示引用选项,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. PC端右键点击会话中一条普通消息,1. 弹出上下文菜单，菜单包含【引用】选项；原有复制/撤回保留,,,功能测试,功能测试阶段
消息引用_引用预览,TC_消息引用_引用预览_001,消息引用_引用预览_Q003,1,Q-003 点击引用输入区出现引用预览条,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,"1. 移动端长按消息，点击引用图标 / PC右键点击引用
2. 观察输入框区域","1. 输入框上方出现引用预览条，进入引用回复模式
2. 输入框可输入回复内容",,,功能测试,功能测试阶段
消息引用_引用内容展示,TC_消息引用_引用内容展示_001,消息引用_引用内容展示_Q004,1,Q-004 引用短文本消息（≤50字符）预览与会话缩略展示,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,"1. 触发引用该40字符文字消息
2. 输入回复内容，发送引用回复消息","1. 预览条展示完整文字
2. 发送后会话回复消息下方完整展示被引用文字",,,功能测试,功能测试阶段
消息引用_引用内容展示,TC_消息引用_引用内容展示_002,消息引用_引用内容展示_Q005,1,Q-005 引用超长文本消息（＞50字符）做截断加省略号,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 触发引用该60字符长文字消息；输入回复，发送引用回复消息,1. 预览条 & 会话引用区域展示前50字符 + ...,,,功能测试,功能测试阶段
消息引用_引用内容展示,TC_消息引用_引用内容展示_003,消息引用_引用内容展示_Q006,1,Q-006 引用图片消息显示[图片]占位,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 引用图片消息；发送引用回复消息,1. 预览条与会话引用区域显示占位文本[图片],,,功能测试,功能测试阶段
消息引用_引用内容展示,TC_消息引用_引用内容展示_004,消息引用_引用内容展示_Q007,2,Q-007 引用商品卡片消息预览展示卡片标题,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 引用商品卡片消息；发送引用回复消息,1. 预览条、会话引用区域展示商品卡片标题,,,功能测试,功能测试阶段
消息引用_引用内容展示,TC_消息引用_引用内容展示_005,消息引用_引用内容展示_Q008,2,Q-008 引用订单卡片消息预览展示订单标题,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 引用订单卡片消息；发送引用回复消息,1. 预览条、会话引用区域展示订单卡片标题,,,功能测试,功能测试阶段
消息引用_不可引用场景,TC_消息引用_不可引用场景_001,消息引用_不可引用场景_Q009,1,Q-009 系统消息不提供引用入口,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 移动端长按系统消息 / PC右键系统消息,1. 不会弹出操作菜单，无引用选项，无法发起引用,,,功能测试,功能测试阶段
消息引用_不可引用场景,TC_消息引用_不可引用场景_002,消息引用_不可引用场景_Q010,1,Q-010 已撤回消息不能被引用,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 长按/右键已撤回消息气泡,1. 无引用操作入口，不能发起引用,,,功能测试,功能测试阶段
