所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
撤回重编辑_入口展示,TC_撤回重编辑_入口展示_001,撤回重编辑_入口展示_E001,1,E-001 发送消息后撤回撤回提示展示重新编辑按钮,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,"1. 发送一条文字消息
2. 发送者执行撤回操作","1. 会话出现撤回提示气泡
2. 撤回提示下方展示【重新编辑】按钮",,,功能测试,功能测试阶段
撤回重编辑_入口展示,TC_撤回重编辑_入口展示_002,撤回重编辑_入口展示_E002,1,E-002 非发送者看不到重新编辑按钮,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. B查看会话中A撤回消息的提示气泡,1. B的会话界面看不到重新编辑按钮,,,功能测试,功能测试阶段
撤回重编辑_回填编辑,TC_撤回重编辑_回填编辑_001,撤回重编辑_回填编辑_E003,1,E-003 发送者点击重新编辑输入框填充原始内容,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 发送者点击【重新编辑】按钮,1. 输入框自动填充被撤回消息原始文字，进入编辑状态；撤回提示气泡仍然存在,,,功能测试,功能测试阶段
撤回重编辑_发送新消息,TC_撤回重编辑_发送新消息_001,撤回重编辑_发送新消息_E004,1,E-004 重编辑修改内容后发送生成全新消息无编辑标记,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,"1. 修改输入框文字
2. 点击发送按钮","1. 会话生成一条全新消息；消息样式和普通消息完全一致，无任何编辑标记
2. 原撤回提示保留不变",,,功能测试,功能测试阶段
撤回重编辑_发送新消息,TC_撤回重编辑_发送新消息_002,撤回重编辑_发送新消息_E005,2,E-005 重编辑不修改原文直接发送,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 直接点击发送按钮,1. 会话生成全新消息，内容与撤回消息一致；无编辑标记,,,功能测试,功能测试阶段
撤回重编辑_退出编辑,TC_撤回重编辑_退出编辑_001,撤回重编辑_退出编辑_E006,2,E-006 重编辑状态清空输入框退出编辑模式,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 手动清空输入框全部文字,1. 输入框回到普通状态；撤回提示气泡保持不变,,,功能测试,功能测试阶段
撤回重编辑_循环操作,TC_撤回重编辑_循环操作_001,撤回重编辑_循环操作_E007,2,E-007 多次循环撤回重编辑发送,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 发送消息M1 →撤回 →重新编辑发送M2；M2发送完成，在2分钟内再次撤回M2，点击重新编辑，修改发送M3,1. 每一轮均可正常执行；每一次发送都是全新消息，无编辑标记,,,功能测试,功能测试阶段
撤回重编辑_再次撤回,TC_撤回重编辑_再次撤回_001,撤回重编辑_再次撤回_E008,1,E-008 重编辑发送的新消息支持2分钟内再次撤回,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 对重编辑生成的消息执行撤回操作,1. 可以正常触发撤回；撤回完成同样展示重新编辑按钮,,,功能测试,功能测试阶段
撤回重编辑_时效边界,TC_撤回重编辑_时效边界_001,撤回重编辑_时效边界_E009,3,E-009 超过撤回时效无撤回无重编辑按钮,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 对该超过2分钟的消息触发操作菜单,1. 菜单没有撤回选项；不存在重新编辑入口,,,功能测试,功能测试阶段
回归测试,TC_回归测试_001,回归测试_Reg001,2,Reg-001 原有撤回功能不受改动,已登录华硕客服工作台 https://dev-asus.njsyue.com/cs/web/web/index.html#/chat 。IM服务正常，客服会话可正常收发消息；原有撤回功能可用（2分钟内可撤回）；后端t_session_detail表cloudCustomData字段正常存储引用数据；历史会话接口findSessionList返回VO携带cloudCustomData；测试角色：客服（PC工作台）、用户（App/H5/小程序）,1. 发送消息，2分钟内撤回、超过2分钟尝试撤回,1. 原有撤回逻辑行为与版本上线前保持一致，无破坏,,,功能测试,功能测试阶段
