所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
商品日志,TC_商品日志_001,商品日志_结构化字段展示,1,商品日志列表结构化字段与详情按操作类型展示,已登录平台后台（dev-mall-admin），商品日志列表存在编辑商品、发布商品等日志数据。,"1. 进入商品日志列表页，核对新增【spu id】【spu 名称】【操作类型】字段及【日志id】表头；选择编辑商品日志，核对结构化字段值。
2. 分别打开编辑商品、发布商品日志详情，核对编辑商品字段展示；发布商品内容按树状结构解析展示。","1. 列表展示 spu id、spu 名称、操作类型字段，表头为【日志id】且不再展示【序号】；编辑商品日志字段值正确。审核类日志 spu 名称为空符合业务规则。
2. 编辑商品详情字段展示正确；发布商品详情按树状结构解析日志内容，无报错。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_002,商品日志_操作类型枚举,1,操作类型枚举完整性与定时上下架用户操作日志,已登录平台后台（dev-mall-admin），商品日志列表存在日志数据。,"1. 打开操作类型筛选下拉，核对 12 个枚举项完整且文案正确（发布商品、编辑商品、商品上架、商品下架、商品设定定时上架、商品设定定时下架、商品删除、商品隐藏/取消隐藏、设置关联版式、重新生成太阳码、商品复制、商品审核）。
2. 对商品设定定时下架，核对用户操作产生的日志类型与操作人；待系统自动执行后再次查看该商品日志。","1. 下拉枚举完整、无缺失错字；隐藏商品与取消隐藏商品合并为【商品隐藏/取消隐藏】符合业务规则，与实际操作产生的日志类型一致。
2. 用户设定动作记【商品设定定时下架】，操作人为实际操作用户；系统到点自动下架后商品状态可变，但不新增系统操作人日志。商品日志只记录用户操作，不记录系统自动执行。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_003,商品日志_spu id精确搜索,1,商品日志按spu id精确搜索,已登录平台后台（dev-mall-admin），商品日志列表存在日志数据。,"1. 输入已知商品 spu id 精确搜索，核对结果。
2. 输入不存在的 spu id、空格、特殊字符搜索。","1. 精确匹配，列表仅展示该 spu id 的日志，无多余或遗漏。
2. 无匹配时返回空/合理处理，均无报错。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_004,商品日志_操作时间筛选,2,商品日志按操作时间时间段筛选,已登录平台后台（dev-mall-admin），商品日志列表存在日志数据。,"1. 使用时间段组件选择起止时间搜索，核对结果日志的操作时间均在区间内。
2. 选择起止时间相同的边界、跨天区间搜索；清空时间段恢复全部。","1. 结果日志操作时间均落在所选起止区间内。
2. 边界与跨天处理正确；清空后恢复全部日志，无报错。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_005,商品日志_IP模糊搜索,2,商品日志按IP文本模糊搜索,已登录平台后台（dev-mall-admin），商品日志列表存在日志数据。,"1. 输入操作 IP 的部分片段（如 192.168）搜索，核对结果。
2. 输入不存在的 IP、特殊字符搜索。","1. 模糊匹配生效，列表仅展示 IP 包含该片段的日志。
2. 无匹配时返回空/合理处理，均无报错。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_006,商品日志_操作类型筛选,2,商品日志按操作类型下拉单选筛选,已登录平台后台（dev-mall-admin），商品日志列表存在日志数据。,"1. 依次选择不同操作类型（如商品上架、商品下架、编辑商品）搜索，核对结果。
2. 不选择操作类型直接搜索，核对默认展示。","1. 各枚举筛选结果仅包含所选操作类型的日志，结果正确。
2. 未选择时展示全部类型日志，无遗漏。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_007,商品日志_组合筛选,2,商品日志筛选条件组合生效,商品日志列表支持 spu id、操作时间、IP、操作类型筛选。,"1. 组合 spu id 与操作类型搜索。
2. 组合操作时间与 IP 搜索。","1. 结果同时满足 spu id 与操作类型两个条件。
2. 结果同时满足操作时间与 IP 两个条件。",,,功能测试,功能测试阶段
商品日志,TC_商品日志_008,商品日志_接口与数据一致性,1,商品日志列表接口参数与数据一致性,已登录平台后台（dev-mall-admin），具备 F12 抓包能力，必要时具备数据库查询权限。,"1. F12 抓取商品日志列表接口，核对响应包含 spu id、spu 名称、操作类型、日志 id 等结构化字段，且筛选请求参数与所选条件一致（spu id 精确/IP 模糊/操作时间区间/操作类型）。
2. 核对列表展示与数据库结构化字段一致。","1. 接口字段完整、筛选参数正确，响应 code/message/data 完整。
2. 列表结果与数据库一致，无多余或遗漏。",,,功能测试,功能测试阶段
商品日志专项,TC_商品日志专项_001,商品日志专项_日志详情树状显示,3,admin日志详情按操作类型树状解析显示,admin 商品日志详情弹框已按操作类型展示。,"1. 分别打开编辑商品、发布商品日志详情，核对日志内容展示方式。
2. 展开/收起树节点，核对发布商品日志各节点数据。","1. 编辑商品详情展示结构化字段；发布商品详情按树状结构解析展示，接口返回内容正确且无报错。
2. 发布商品日志树节点展开收起正常，数据正确。",,,功能测试,功能测试阶段
商品日志专项,TC_商品日志专项_002,商品日志专项_seller快速查询日志,3,seller端商品管理模块快速查询日志,seller 商品管理模块已支持快速查询日志。,"1. 进入 seller 商品管理/商品列表，找到日志查询入口。
2. 对商品执行快速查询日志，核对展示。","1. 入口可达，查询功能正常无报错。
2. 日志展示正确，与 admin 端结构化日志一致。",,,功能测试,功能测试阶段
