所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
PC商品组件,TC_PC商品组件_001,PC商品组件_未上架不显示与补齐全流程,1,未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,平台后台已配置PC首页装修「商品楼层」组件（配置8个商品且全部上架）；页面已发布；商户后台可执行上下架。,"1. 打开PC商城首页「商品楼层」组件，核对8个上架商品完整显示（2行4列）；强制刷新（Ctrl+F5）后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新PC商城首页「商品楼层」组件核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新PC商城首页「商品楼层」组件核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新PC商城首页「商品楼层」组件核对。
5. 重新上架其中部分商品，打开/刷新PC商城首页「商品楼层」组件核对。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。",,,功能测试,功能测试阶段
PC商品组件,TC_PC商品组件_002,PC商品组件_配置发布与页面隔离,2,装修配置变更发布、专题页同规则、后台配置可见性与广告组件不受影响,平台后台可编辑PC首页装修「商品楼层」组件；已配置PC专题装修页（商品组件含未上架商品）；首页含广告/图片组件；均已发布。,"1. 编辑「商品楼层」组件，将配置商品减少至3个并保存发布，打开PC商城首页核对。
2. 增加配置商品至8个并发布，刷新后核对。
3. 打开PC商城对应专题页，核对商品组件展示。
4. 打开PC商城首页，核对广告/图片等非商品组件展示。
5. 在平台后台装修编辑器中打开「商品楼层」组件配置，核对未上架商品在配置列表中是否仍展示。","1. 3个商品单行展示，其余空位无白框。
2. 按新配置展示数量与顺序正确，无白框/占位图异常。
3. 专题页未上架商品不显示、后续商品补齐，无白框。
4. 广告/图片组件正常显示，不受商品补齐逻辑影响，页面布局无错乱。
5. 未上架商品在后台配置中仍可见（带未上架标识），便于运营处理，不影响前端显示逻辑。",,,功能测试,功能测试阶段
H5商品分组,TC_H5商品分组_001,H5商品分组_未上架不显示与补齐全流程,1,H5（WAP）端【商品分组】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,移动端 WAP 首页：https://dev-mall-m.njsyue.com/；手机装修【商品分组】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
H5推荐商品,TC_H5推荐商品_001,H5推荐商品_未上架不显示与补齐全流程,1,H5（WAP）端【推荐商品】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,移动端 WAP 首页：https://dev-mall-m.njsyue.com/；手机装修【推荐商品】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
小程序商品分组,TC_小程序商品分组_001,小程序商品分组_未上架不显示与补齐全流程,1,微信小程序端【商品分组】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,微信小程序（测试入口以项目提供为准）；手机装修【商品分组】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
小程序推荐商品,TC_小程序推荐商品_001,小程序推荐商品_未上架不显示与补齐全流程,1,微信小程序端【推荐商品】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,微信小程序（测试入口以项目提供为准）；手机装修【推荐商品】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
Android端商品分组,TC_Android端商品分组_001,Android端商品分组_未上架不显示与补齐全流程,1,Android App端【商品分组】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,Android App（测试入口以项目提供为准）；手机装修【商品分组】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
Android端推荐商品,TC_Android端推荐商品_001,Android端推荐商品_未上架不显示与补齐全流程,1,Android App端【推荐商品】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,Android App（测试入口以项目提供为准）；手机装修【推荐商品】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
iOS端商品分组,TC_iOS端商品分组_001,iOS端商品分组_未上架不显示与补齐全流程,1,iOS App端【商品分组】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,iOS App（测试入口以项目提供为准）；手机装修【商品分组】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
iOS端推荐商品,TC_iOS端推荐商品_001,iOS端推荐商品_未上架不显示与补齐全流程,1,iOS App端【推荐商品】未上架商品不显示与补齐全流程（中间/首尾下架、极端、恢复）,iOS App（测试入口以项目提供为准）；手机装修【推荐商品】组件配置8个商品且全部上架，页面已发布；商户后台可执行上下架。,"1. 打开前端该商品组件，核对8个上架商品完整显示（2行4列）；强制刷新后再次核对。
2. 商户后台将中间2个商品（第3、4位）下架，打开/刷新前端核对。
3. 商户后台将首位（第1位）和末位（第8位）商品下架，打开/刷新前端核对。
4. 商户后台将剩余上架商品继续下架至仅剩1个（如第7位），再全部下架，打开/刷新前端核对。
5. 重新上架其中部分商品，打开/刷新前端核对。
6. 打开前端专题页/分类页对应商品组件，核对展示。","1. 8个上架商品完整显示（2行4列），无白底占位图、无白框；刷新后结果一致。
2. 中间未上架商品不显示，剩余6个按配置顺序前移：第一行4个、第二行2个，无白框（对应需求8配2示例）。
3. 首位/末位未上架商品不显示，剩余商品继续前移补齐，无白框（首尾位置覆盖）。
4. 仅剩1个上架时展示在首行最左侧、其余空缺且无白框（对应需求7未上架极端示例）；全部未上架时组件空白无白框、页面无报错。
5. 商品恢复显示，按配置顺序展示，布局正常。
6. 未上架商品不显示、后续商品补齐，无白框。",,,功能测试,功能测试阶段
装修专项,TC_装修专项_001,装修专项_数据层校验,1,商品组件接口过滤与数据库一致性校验,具备抓包或浏览器F12 Network工具，具备数据库查询权限。,"1. 打开商城首页，抓取商品组件相关接口响应，核对未上架商品数据的返回与过滤。
2. 记录商品组件配置与商品上下架状态，查询数据库核对商品状态字段，并与页面展示比对。","1. 接口不返回下架/未上架商品数据，或返回后由前端过滤，组件不渲染未上架商品，页面无白框。
2. 页面仅展示数据库状态为上架的商品，未上架商品不展示，与数据库一致。",,,功能测试,功能测试阶段
装修专项,TC_装修专项_002,装修专项_兼容与性能,2,PC/移动端兼容性与渲染性能校验,安装Chrome、Edge、Firefox浏览器；可提供不同尺寸移动设备或使用开发者工具设备模拟；商品组件配置商品数量较多（如几十个）。,"1. 分别在Chrome、Edge、Firefox打开商城首页商品组件，核对展示与布局。
2. 在不同分辨率/机型下打开移动端首页商品组件，核对展示。
3. 在商品数量较多场景下打开商城首页商品组件，观察加载与渲染。","1. 各浏览器均按新逻辑展示，无JS报错，无白框残留。
2. 移动端补齐逻辑正常，无遮挡错位、无白框。
3. 页面正常加载无卡死，未上架商品不显示、补齐逻辑正常。",,,功能测试,功能测试阶段
装修专项,TC_装修专项_003,装修专项_异常兜底,2,接口异常与商品状态异常兜底,可构造接口超时/异常场景及商品状态异常数据（或请开发协助）。,"1. 构造商品组件接口异常/超时场景，打开商城首页核对组件展示。
2. 构造商品状态异常数据，打开商城首页核对展示。","1. 页面无白框、无JS报错，组件按空态或兜底处理，不展示异常数据。
2. 状态非上架商品不显示，不残留白框，页面无报错。",,,功能测试,功能测试阶段
