所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
商品草稿,TC_商品草稿_001,商品草稿_Step2空资料弱校验保存,1,进入Step2后必填全空可保存草稿，只写入goods_draft且不进正式列表,已登录商户后台 https://dev-mall-seller.njsyue.com，账号具备商品发布和「商品草稿保存按钮」权限。测试环境已合入 fun_0377。店铺草稿未达 100 条。,"1. 进入新增商品发布页（无 id、无 draftId）Step 1，核对该步底部按钮，不选择分类。
2. 选择合法三级分类进入 Step 2，核对该步底部按钮。商品名称、品牌、SKU、价格、库存、货号/料号、主图、详情全部留空，点击【保存草稿】，核对 loading、成功提示、上次保存时间、接口 POST /v3/goods/seller/goodsDraft/save、数据库 goods_draft，以及在售/仓库中/待审核/违规下架列表。","1. Step 1 底部仅【返回】【下一步】，不展示【保存草稿】。未选分类不能保存；若直接调用保存接口，提示「请先选择商品分类后再保存草稿。」且不写入草稿。
2. Step 2 底部为【返回】【下一步】【保存草稿】【发布】。按钮文案先变为「保存中...」。成功提示「草稿保存成功，暂不会提交审核或上架，可在商品草稿箱中继续编辑。」页面停留当前发布页，展示「上次保存：YYYY-MM-DD HH:mm」。接口返回 draftId、updateTime、expireTime。草稿箱新增一行：名称为「未命名商品」，有分类路径，无主图显示默认商品占位图，创建人为当前操作员。只新增 goods_draft：draft_status=1，category_id1/2/3 已写入，expire_time=update_time+30天，form_data_json 含当前表单，运费按 0，goods_id 为空。不产生正式商品记录。在售、仓库中、待审核、违规下架均无该条。不触发审核、上架、搜索/ES、OMS。",,,功能测试,功能测试阶段
商品草稿,TC_商品草稿_002,商品草稿_已填与重复料号仍保存,1,已填写内容可保存，重复货号料号保存时不校验，连点仍更新同一draftId,已按 TC_商品草稿_001 保存一条草稿，仍在该草稿编辑页或从草稿箱【继续编辑】进入。店铺已有一条正式商品，其货号/料号已知。商品名称、创建人精确或模糊待确认，本条不测搜索。,"1. 补填合法商品名称 wwd_20260825_草稿填写、合法价格与非负整数库存，品牌/SKU/图片/详情仍可不填，点击【保存草稿】。
2. 把货号/料号改成与已有正式商品相同的值，再次点击【保存草稿】，核对接是否因重复被拦截。
3. 进入 Step 3 核对该步底部按钮后连续快速点击两次【保存草稿】，核对草稿箱行数与 goods_draft.draft_id、goods_name、update_time、expire_time。","1. 保存成功，草稿箱该行名称更新为 wwd_20260825_草稿填写。不因缺少品牌、SKU、主图、详情失败。goods_draft.goods_name/draft_name 与列表一致。
2. 保存草稿不对货号/料号做重复校验，仍保存成功，draftId 不变，草稿箱不新增多行。不提示正式商品货号重复类错误。
3. Step 3 底部为【返回】【上一步】【保存草稿】【发布】。两次点击仍是同一 draftId，草稿箱不新增重复行，update_time 刷新，expire_time=update_time+30天。更新已有草稿不受 100 条上限影响。",,,功能测试,功能测试阶段
商品草稿,TC_商品草稿_003,商品草稿_非法值拦截与保存失败不落库,1,已填非法价格库存名称被拦截；首次保存失败不产生草稿记录,可进入新增商品发布页。另需可模拟保存接口失败（断网、网关错误或接口返回失败）。已有草稿的发布失败见 TC_商品草稿箱_007。,"1. 选择分类进入 Step 2，分别填写非法价格（负数、非数字）、非法库存（负数、小数）、超过现有商品名称长度限制的名称后点击【保存草稿】。
2. 新建发布页选择分类进入 Step 2，填写部分合法内容后模拟保存接口失败，再点击【保存草稿】，核对接页面表单、草稿箱和 goods_draft。","1. 已填写但格式非法的价格、库存、超长名称被拦截，不写入错误值，页面已填内容不丢失。
2. 提示「草稿保存失败，请稍后重试。」当前页表单内容仍在。草稿箱不新增该条，goods_draft 不产生对应新记录。可再次点击保存重试。",,,功能测试,功能测试阶段
商品草稿,TC_商品草稿_004,商品草稿_离开提醒,1,发布页有未保存修改时离开提醒三按钮行为正确,可进入新增商品发布页；草稿箱已有至少一条可对照的草稿。,"1. 打开一条已有 draftId 的草稿编辑页 Step 2 或 Step 3，修改任一已填字段后不点保存，核对接页是否出现「有未保存修改」；点击【返回】或切换其他菜单，核对提醒文案与三个按钮后点【取消】。
2. 再次修改并触发提醒，点【不保存，直接离开】，再从草稿箱【继续编辑】核对接内容。
3. 再次修改并触发提醒，点【保存草稿并离开】，再从草稿箱【继续编辑】核对接内容。
4. 进入新增商品发布页（无 id、无 draftId），选择分类进入 Step 2，填写部分内容后不点保存，触发离开提醒并点【保存草稿并离开】。","1. 页面展示「有未保存修改」。弹窗文案为「当前商品资料尚未保存，离开后可能丢失，是否保存为草稿？」按钮为【保存草稿并离开】【不保存，直接离开】【取消】。【取消】关闭弹窗并留在当前页。
2. 离开成功，草稿仍为修改前的内容。
3. 离开成功，草稿为离开前的最新快照，draftId 不变。
4. 新建一条草稿（产生新 draftId），草稿箱可见该条；离开成功。未选分类时不能走该成功路径。",,,功能测试,功能测试阶段
商品草稿,TC_商品草稿_005,商品草稿_编辑正式商品无草稿能力,1,编辑正式商品不展示保存草稿，仓库中和在售都不会进入草稿箱,店铺有一条非审核拒绝的正式商品（在售或仓库中均可），编辑 URL 带 id={goodsId}、无 draftId。本条会改正式商品，执行前须说明并获同意。,"1. 打开该正式商品编辑页 Step 2 或 Step 3，核对该页底部按钮、是否有草稿提示条。
2. 修改一个非关键字段后点击【返回】或切换其他菜单，核对接是否弹出草稿离开提醒。
3. 按现有规则点击【保存】（或【发布】），核对接正式商品列表、草稿箱、接口和数据库。","1. 底部为【返回】【上一步/下一步】【保存】，不展示【保存草稿】，无「当前商品为草稿状态」黄色提示条。该商品仍在原在售或仓库中列表，不会出现在草稿箱。
2. 不弹出「当前商品资料尚未保存，离开后可能丢失，是否保存为草稿？」；离开逻辑沿用现有正式商品编辑，不新建草稿。
3. 走现有正式商品保存/发布接口，不调用 POST /v3/goods/seller/goodsDraft/save。goods_draft 不新增该商品对应草稿，草稿箱无新增行；原正式商品按现有规则更新，goods.state 语义不变。",,,功能测试,功能测试阶段
商品草稿箱,TC_商品草稿箱_001,商品草稿箱_菜单空状态与同店操作,1,草稿箱菜单入口、空状态，同店铺可继续编辑发布删除且无完成度无导出,已登录商户后台，具备商品草稿箱菜单及编辑、发布、删除按钮权限。空状态可用筛选无结果核对，不删除他人草稿。,"1. 查看 seller 左侧「商品管理」菜单，进入「商品草稿箱」（/goods/goods_draft_list），核对该页标题、搜索区、操作条、表头、分页，以及是否有完成度或导出。
2. 在无草稿或筛选无结果时核对接空状态，点击「去发布商品」或操作条【新增商品】。
3. 对一条本店铺草稿核对该行操作列，分别点【继续编辑】、回到列表再看【发布】【删除】是否可用（本步不真正发布或删除）。
4. 有草稿时点击重置；草稿超过一页时再翻到第 2 页（超过一页用接口构造，每页条数以分页器为准）。","1. 「商品管理」菜单顺序为：在售商品、仓库中商品、待审核商品、违规下架商品、商品草稿箱。页面标题为「商品草稿箱」。搜索区字段及占位为：商品名称「请输入商品名称」、商品分类「请选择商品分类」、商品类型下拉「全部、实物商品、虚拟商品」、创建人「请输入创建人」、最近保存时间「开始时间、结束时间」。操作条左侧【批量删除】、右侧【新增商品】。表头为序号、商品信息、商品类型、创建人、最近保存时间、操作。有分页。不展示完成度，无完成度筛选，无导出。
2. 空状态为系统通用空状态图、文案「暂无商品草稿」、按钮「去发布商品」。点击「去发布商品」或操作条【新增商品】后进入空白商品发布页（无 id、无 draftId）。
3. 操作列为【继续编辑】【发布】【删除】。继续编辑进入 URL 含 draftId={draftId} 的发布页。列表只展示本店铺草稿，含创建人。
4. 筛选条件清空，列表回到默认第一页。超过一页时总条数不少于每页条数+1，第 1 页和第 2 页草稿不重复，均可点【继续编辑】进入对应 draftId。",,,功能测试,功能测试阶段
商品草稿箱,TC_商品草稿箱_002,商品草稿箱_多次编辑后回填最新,1,多次编辑删除或补填后保存，列表与回填都是最新内容,草稿箱已有 TC_商品草稿_001/002 保存的草稿，具备「商品草稿编辑按钮」权限。,"1. 对照目标草稿，核对该行列表字段（主图、名称、分类路径、商品类型、创建人、最近保存时间）并与 goods_draft 对应字段核对。
2. 点击【继续编辑】，核对接 URL、标题、黄色提示条、默认步骤和表单回填；在 Step 3 填写 SKU、主图或详情中至少一项后保存，再从列表进入，核对接是否停在 Step 3 且刚才所填已回填。
3. 删除或清空其中一个已填字段后再保存，回到列表并再次进入编辑，核对接两边均为最新。","1. 商品信息列：左侧 80x80 图，有主图显示 main_image，无主图显示默认占位图；右侧两行文字，有名称显示商品名称，空名称显示「未命名商品」，有分类显示 category_path。创建人为 creator_name。最近保存时间为 update_time，年月日时分秒。列表字段与 goods_draft 的 main_image、goods_name/draft_name、category_path、is_virtual_goods、creator_name、update_time 一致。
2. URL 含 draftId={draftId}。标题可为「编辑商品草稿」。提示条为「当前商品为草稿状态，保存草稿不会提交审核或上架。资料填写完整后，请点击发布。」右侧可展示「最近保存：YYYY-MM-DD HH:mm」。已保存字段全部回填，不能只回填名称/分类。SKU/图片/详情已填写后 last_step 指向 Step 3，再次进入默认停在 Step 3。draftId 不变。
3. 被删除或清空的字段不再回填为旧值。列表名称或最近保存时间已更新。GET /v3/goods/seller/goodsDraft/detail 的 formDataJson 与当前表单一致。",,,功能测试,功能测试阶段
商品草稿箱,TC_商品草稿箱_003,商品草稿箱_商品名称搜索前半,1,草稿箱商品名称正向、错误值、空格、不存在值搜索,已进入 /goods/goods_draft_list，列表有一条已知名称的草稿。商品名称匹配规则需与产品/开发确认是精确还是模糊，确认前按现有商品列表同类字段规则执行。,"1. 核对该页筛选区字段名称、控件类型、排列位置与占位文案后，商品名称输入该草稿的商品名称，执行搜索。
2. 商品名称输入错误值（故意改错若干字符），执行搜索。
3. 商品名称仅输入空格，执行搜索。
4. 商品名称输入确定不存在的名称，执行搜索。","1. 筛选区在列表上方，从左到右为：商品名称输入框（请输入商品名称）、商品分类树形（请选择商品分类）、商品类型下拉（全部、实物商品、虚拟商品）、创建人（请输入创建人）、最近保存时间日期范围（开始时间、结束时间）。无完成度筛选项。列表接口 GET /v3/goods/seller/goodsDraft/list 参数含 goodsName、categoryId、isVirtualGoods、creatorName、startTime、endTime、current、pageSize。按已确认规则命中该草稿，结果含该条，页面无报错。
2. 不命中原草稿或返回空列表，页面无报错。
3. 按与现有商品列表空格搜索相同规则处理，页面无报错。
4. 返回空列表或展示「暂无商品草稿」，页面无报错。",,,功能测试,功能测试阶段
商品草稿箱,TC_商品草稿箱_004,商品草稿箱_名称符号与创建人正向,1,草稿箱商品名称表情特殊符号、创建人正向与错误值搜索,已进入商品草稿箱，已知目标草稿创建人 creator_name。创建人匹配规则需与产品/开发确认是精确还是模糊。,"1. 商品名称输入表情符号，执行搜索。
2. 商品名称输入特殊符号，执行搜索。
3. 创建人输入该草稿创建人，执行搜索。
4. 创建人输入错误值，执行搜索。","1. 返回空或不匹配结果，页面无报错、无脚本异常。
2. 返回空或不匹配结果，页面无报错。
3. 按已确认规则命中该草稿，结果含该条，页面无报错。
4. 不命中或返回空，页面无报错。",,,功能测试,功能测试阶段
商品草稿箱,TC_商品草稿箱_005,商品草稿箱_创建人反向后半,1,草稿箱创建人空格、表情、特殊符号、不存在值搜索,已进入商品草稿箱。匹配规则同 TC_商品草稿箱_004。,"1. 创建人仅输入空格，执行搜索。
2. 创建人输入表情符号，执行搜索。
3. 创建人输入特殊符号，执行搜索。
4. 创建人输入确定不存在的创建人，执行搜索。","1. 按空格规则处理，页面无报错。
2. 返回空或不匹配，页面无报错。
3. 返回空或不匹配，页面无报错。
4. 返回空列表，页面无报错。",,,功能测试,功能测试阶段
