所属模块,用例编号,关键词,优先级,用例名称,前置条件,步骤,预期,测试结果（留空）,用例备注,用例类型,适用阶段
顶部导航,TC_顶部导航_001,顶部导航_顶部背景图新增,1,顶部导航在首页置灰下方新增顶部背景图，仅一张且可空可删改,已登录会员商城平台后台 https://dev-mbrmkt-admin.njsyue.com，可进入手机首页装修编辑器并打开【顶部导航】。测试环境已合入 _mbrMkt_0029。优先复用已有测试首页，不要改他人已发布页。上传图须先确认。,"1. 打开【顶部导航】配置区，核对照【顶部背景图】相对现有【首页置灰】的位置、默认值、建议尺寸文案；不上传图片直接保存。
2. 上传一张建议尺寸 750*480px 的图片并保存，抓保存请求与装修配置回显；再对该图执行编辑替换后保存。
3. 删除已上传的顶部背景图并保存，再打开该组件核对照默认值。","1. 【顶部背景图】出现在现有设置项【首页置灰】下方。默认值为空，允许不上传。建议尺寸文案为 750*480px。不上传也可保存成功。
2. 只允许上传一张。上传成功，支持删除和编辑。保存后回显为最新一张图。保存接口响应成功（路径以抓包为准），装修配置中顶部背景图地址与页面回显一致。
3. 删除成功，顶部背景图恢复为空，无残留缩略图。配置落库字段为空（表名待开发确认）。",,,功能测试,功能测试阶段
图片轮播,TC_图片轮播_001,图片轮播_尺寸投放速度间距,1,图片轮播建议尺寸改为710x280，投放速度间距仍按原规则可用,已登录会员商城平台后台，手机首页装修可添加或编辑【图片轮播】。投放时间规则：开始时间不早于当前时间 5 分钟、结束时间在 30 天内且晚于开始时间。,"1. 打开【图片轮播】图片设置，核对照建议尺寸；上传至少两张图，分别配置名称和点击跳转，拖动调整顺序后保存。
2. 打开投放设置，核对照投放开关默认值；开启后为其中一张图配置合法投放时间（起止为年月日时分秒），并分别验证结束时间早于开始时间、开始时间早于当前 5 分钟。
3. 打开更多设置，将切换速度分别设为 3 秒、5 秒及非法值（2 秒、6 秒）后保存。
4. 打开间距设置，核对照上、下间距默认值，修改后保存再打开回显。","1. 建议尺寸为宽 710、高 280。支持上传多张图片。名称、点击跳转可保存。拖动后顺序按新顺序回显，保存接口请求体中图片顺序与页面一致。
2. 投放开关默认关闭（全部投放），非必填。合法时间可保存，该广告图仅在投放时间内对用户端可见。非法时间被拦截、不能保存。投放人群默认全部，可选指定人群。
3. 切换速度可设 3～5 秒，默认 3 秒。超出范围被拦截或无法保存。
4. 上间距默认 0、下间距默认 8。修改后回显为刚保存的值。",,,功能测试,功能测试阶段
热区切图,TC_热区切图_001,热区切图_二十热区复制样式,1,热区切图最多20个方形热区，复制后配置与源组件一致,已登录会员商城平台后台，手机首页装修可添加或编辑【热区切图】。,"1. 上传一张底图，添加方形热区并拖动调整位置和长宽，按通用跳转为热区配置链接；添加到第 20 个后再尝试添加第 21 个。
2. 编辑其中一个热区的位置或跳转后保存，再删除另一个热区后保存。
3. 在更多设置中分别选择图片显示样式「限制宽度」和「不限宽度」，并核对照投放时间、投放人群仍可配。
4. 鼠标聚焦该【热区切图】组件，点击楼层菜单【复制】；打开复制出的组件核对照图片、热区、跳转和间距默认值。","1. 热区形状为方形，可拖动改位置和长宽，可按通用跳转配置链接。最多可添加 20 个热区。第 21 个无法添加并有提示。
2. 热区允许删除和编辑。保存后回显为最新配置，落库热区数量、坐标、跳转与页面一致。
3. 限制宽度对应 710，不限宽度对应 750。投放时间、投放人群仍可用。
4. 仅当鼠标聚焦【热区切图组件】时，楼层菜单出现【复制】。点击后自动在当前组件下方新增一个热区切图。复制出的配置与源组件一致，包括图片、热区、跳转等设定。上间距默认 0、下间距默认 8。",,,功能测试,功能测试阶段
金刚导航,TC_金刚导航_001,金刚导航_五图抢购活动间距,1,金刚导航固定5个96x96图，新增抢购活动跳转,已登录会员商城平台后台，手机首页装修可添加或编辑【金刚导航】。已有可跳转的抢购活动页。,"1. 打开【金刚导航】配置，核对照可配置的导航图片数量和图片建议尺寸。
2. 替换其中若干张导航图，为其中一项选择跳转位置【抢购活动】并保存；再删除其中一项后保存。
3. 核对照组件上、下间距默认值，修改后保存再打开回显。","1. 固定 5 个导航图片位。图片尺寸 96*96。
2. 支持替换和删除。跳转位置包含【抢购活动】，保存后回显为【抢购活动】。用户端点击后进入对应抢购活动页。
3. 上间距默认 16、下间距默认 24。修改后回显为刚保存的值。",,,功能测试,功能测试阶段
推荐商品,TC_推荐商品_001,推荐商品_一行两个锁定与选品红标,1,推荐商品锁定一行两个，立即购买隐藏，异常商品红标,已登录会员商城平台后台，可编辑【推荐商品】。商户侧有上架商品，以及库存异常、未上架、已删除等异常商品可供选择。添加上限文档写「最多可添加 1 个或指定数量」，与「一行两个」不完全一致，以页面提示为准，待产品确认后再按上限执行。,"1. 打开【推荐商品】，核对照展示类型、立即购买图标是否可修改及其默认值。
2. 核对照商品图片默认选项，将白底图切换为主图后保存再打开回显。
3. 核对照选择商品模式；点击「+ 添加」核对照弹窗上限提示，按页面提示选择商品，核对照回填列表字段，并加入库存异常、已删除、未上架商品。","1. 展示类型默认选择「一行两个」且不可修改。立即购买图标默认隐藏且不可修改。
2. 商品图片可选择白底图或主图，默认白底图。保存后回显为主图。
3. 一期只有「人工选择」且默认选中，无系统排序、无智能推荐。弹窗提示最多可添加的数量以页面为准（文档原文为「最多可添加 1 个或指定数量」，待确认）。回填列表展示序号、缩略图、商品名称、价格和操作按钮。库存异常、已删除、未上架以红色标签提示。",,,功能测试,功能测试阶段
推荐商品,TC_推荐商品_002,推荐商品_轮播补位与精选评价默认关,1,推荐商品轮播关闭后商品补位，精选评价默认关闭且一期不测评价管理,已打开【推荐商品】。精选评价前端展示和【评价管理】页面为一期不做，本条只核开关默认值和底部提示，不进入评价管理、不测设为精选。,"1. 核对照精选评价开关默认值及底部提示文案，尝试打开再关闭。
2. 核对照轮播图默认开关；保持开启时上传多张图，核对照建议尺寸，配置名称、点击跳转，并为单张图打开投放设置。
3. 关闭轮播图后保存，核对照预览区原轮播位置；再打开更多设置核对照切换速度可配范围及是否随轮播图显隐。","1. 精选评价可开启或关闭，默认关闭。底部提示文字为「精选评价数据，请前往admin端--评价--精选评价中做选择」。一期不要求用户端展示精选评价内容，也不测评价管理页。
2. 轮播图默认开启。建议尺寸宽 346、高 456。可配置单张图片名称和点击跳转。投放开关默认关闭，开启后可单独配置该图投放时间和投放人群。
3. 关闭轮播图后，原轮播位置由商品补位，不留空框。切换速度默认 3 秒、可设 3～5 秒；轮播图关闭时该项跟随隐藏。",,,功能测试,功能测试阶段
底部导航,TC_底部导航_001,底部导航_图标尺寸选中态预览,1,底部导航常规48与中间入口140，预览同步且固定底部,已登录会员商城平台后台，手机首页装修可编辑【底部导航】。,"1. 打开【底部导航】，核对照常规导航图标与中间自定义入口图的建议尺寸。
2. 为某一导航项分别配置默认图标、选中图标、导航名称和跳转链接（如首页、分类页、购物车、我的），观察中间手机预览区是否同步。
3. 保存后在预览区滚动页面，核对照底栏是否固定；再切到该导航对应页核对照选中态。","1. 常规导航图标建议尺寸为 48×48。中间自定义导航图片尺寸为 140×140，比普通导航项更突出。中间位置可配置自定义图片，作为营销入口（需求示例「618 年中大促」）。
2. 每个导航项包含未选中态和选中态两套图标。修改图标、文字或跳转后，中间手机预览区同步展示对应效果。
3. 底部导航固定在页面底部，不随页面内容滚动消失。进入对应页时该项展示选中图标和选中颜色，其余展示默认图标和默认颜色。",,,功能测试,功能测试阶段
保留组件,TC_保留组件_001,保留组件_四组件保留主导航去除,1,标题电梯分组图组仍保留，固定主导航从面板和首页去掉,已登录会员商城平台后台，可打开手机首页装修组件面板；已有可发布的首页装修页。,"1. 在组件面板中查找【标题文本】【电梯导航】【商品分组】【图片组合】，分别添加或打开已有配置并保存。
2. 在组件面板和当前首页画布中查找固定【主导航】组件。
3. 发布该首页后打开 H5 首页，核对照上述保留组件仍可展示，且页面不再出现固定主导航。","1. 四个组件仍在面板中，可添加、可配置、可保存。功能按原逻辑保留，不因本期改造报错。
2. 组件面板和画布均不再提供固定【主导航】。
3. H5 首页可展示已配置的标题文本、电梯导航、商品分组、图片组合。无固定主导航，页面布局不因去除主导航报错。",,,功能测试,功能测试阶段
首页装修列表,TC_首页装修列表_001,首页装修列表_现网筛选复制预览,2,手机首页装修列表现有筛选、新增、复制、预览、删除仍可用,已登录会员商城平台后台。菜单以环境为准，路径类比 /decorate_m/lists。本次写作用例时 9222 未登录会员商城 admin，执行时先打开列表核对照按钮原文。本条只读查看列表和已有页的预览，不新建、不删他人页。,"1. 打开手机装修 → 首页装修列表，核对照筛选项、按钮和表格列，以及操作列是否有装修、复制、预览、删除。
2. 用页面名称搜一条已有测试页，再点重置；对一条未发布测试页点预览（不要点删除、不要新建）。
3. 打开一条已有页的操作【复制】入口但不提交保存（若必须落库则先确认）；核对照复制是否生成新草稿页。","1. 列表具备页面名称、使用状态等筛选和搜索、重置。有新增页面入口。操作列含装修、复制、预览；删除是否对已发布页隐藏以页面为准。
2. 能搜到目标页。重置后筛选条件清空。预览打开用户端预览地址，不把草稿当已发布首页。
3. 复制入口存在。若执行复制，新页配置与源页一致且为未发布/草稿，不覆盖源页已发布内容。无复制按钮则本步受阻：现网无复制。",,,功能测试,功能测试阶段
首页H5,TC_首页H5_001,首页H5_改造组件按新尺寸展示,1,H5首页顶部背景、轮播710x280、金刚五图抢购、底栏按新尺寸展示且无主导航,平台后台已按本期规则配置并发布手机首页：顶部背景图、图片轮播（710×280）、金刚导航（5 个 96×96，含抢购活动跳转）、底部导航（常规 48×48、中间 140×140）。H5：https://dev-mbrmkt-m.njsyue.com 。写用例当日 H5 出现 ERR_INVALID_RESPONSE，执行前先确认环境可打开。,"1. 打开 H5 首页，核对照顶部背景图是否按已发布装修展示，页面有无固定主导航。
2. 核对照图片轮播的展示尺寸、图片顺序和点击跳转。
3. 核对照金刚导航数量、图片尺寸，点击已配置【抢购活动】的入口。
4. 核对照底部导航常规项与中间入口的尺寸、选中态，以及是否固定在底部。","1. 顶部展示已配置的背景图；未配置时该区域为空或走原默认，无裂图。页面无固定主导航。
2. 轮播按配置顺序播放，视觉尺寸符合宽 710、高 280。点击跳转到配置位置。
3. 展示 5 个导航图，单图约 96×96。点击抢购活动入口进入对应抢购活动页。
4. 常规项约 48×48，中间入口约 140×140 且更突出。当前页对应项为选中态。底栏固定不随滚动消失。",,,功能测试,功能测试阶段
